id,name,url,price
138,Смартфон HUAWEI Y9 (2018),https://market.yandex.ru/product--smartfon-huawei-y9-2018/33222841?show-uid=15490588326646087466616138&nid=54726&context=search,10990
139,Смартфон HUAWEI P smart 32GB Dual Sim,https://market.yandex.ru/product--smartfon-huawei-p-smart-32gb-dual-sim/1963548207?show-uid=15490588326646087466616139&nid=54726&context=search,10950
140,Смартфон Fly Power Plus 3,https://market.yandex.ru/product--smartfon-fly-power-plus-3/170925068?show-uid=15490588326646087466616140&nid=54726&context=search,3930
141,Смартфон Xiaomi Mi A2 6/128GB,https://market.yandex.ru/product--smartfon-xiaomi-mi-a2-6-128gb/133629394?show-uid=15490588326646087466616141&nid=54726&context=search,16350
142,Смартфон DOOGEE X50,https://market.yandex.ru/product--smartfon-doogee-x50/117391677?show-uid=15490588326646087466616142&nid=54726&context=search,4180
143,Смартфон Apple iPhone 8 Plus 64GB,https://market.yandex.ru/product--smartfon-apple-iphone-8-plus-64gb/1732171530?show-uid=15490588326646087466616143&nid=54726&context=search,49490
144,Телефон ZTE R341,https://market.yandex.ru/product--telefon-zte-r341/1731010508?show-uid=15490588326646087466616144&nid=54726&context=search,812
145,Смартфон Motorola Moto G6 32GB,https://market.yandex.ru/product--smartfon-motorola-moto-g6-32gb/121980571?show-uid=15490588352370156676016145&nid=54726&context=search,15494
146,Смартфон Apple iPhone Xs 64GB,https://market.yandex.ru/product--smartfon-apple-iphone-xs-64gb/175944272?show-uid=15490588352370156676016146&nid=54726&context=search,69490
147,Смартфон Meizu M6 Note 3/32GB,https://market.yandex.ru/product--smartfon-meizu-m6-note-3-32gb/1733311026?show-uid=15490588352370156676016147&nid=54726&context=search,11150
148,Смартфон Samsung Galaxy S9+ 256GB,https://market.yandex.ru/product--smartfon-samsung-galaxy-s9-256gb/1968987836?show-uid=15490588352370156676016148&nid=54726&context=search,48490
149,Телефон Philips Xenium E168,https://market.yandex.ru/product--telefon-philips-xenium-e168/1732033038?show-uid=15490588352370156676016149&nid=54726&context=search,1752
150,Смартфон Xiaomi Redmi 6 Pro 3/32GB,https://market.yandex.ru/product--smartfon-xiaomi-redmi-6-pro-3-32gb/131024108?show-uid=15490588352370156676016150&nid=54726&context=search,10590
151,Смартфон OnePlus 5T 64GB,https://market.yandex.ru/product--smartfon-oneplus-5t-64gb/1807107737?show-uid=15490588352370156676016151&nid=54726&context=search,26440
152,Смартфон Digma HIT Q500 3G,https://market.yandex.ru/product--smartfon-digma-hit-q500-3g/1798250284?show-uid=15490588352370156676016152&nid=54726&context=search,3272
153,Смартфон HUAWEI Y5 Lite,https://market.yandex.ru/product--smartfon-huawei-y5-lite/217969159?show-uid=15490588352370156676016153&nid=54726&context=search,6444
154,Смартфон Philips S395,https://market.yandex.ru/product--smartfon-philips-s395/44777806?show-uid=15490588352370156676016154&nid=54726&context=search,6990
155,Смартфон Apple iPhone 7 128GB,https://market.yandex.ru/product--smartfon-apple-iphone-7-128gb/14206682?show-uid=15490588352370156676016155&nid=54726&context=search,39490
156,Смартфон BQ 5059 Strike Power,https://market.yandex.ru/product--smartfon-bq-5059-strike-power/1724439891?show-uid=15490588352370156676016156&nid=54726&context=search,4970
